fecha,modo_persistencia,politica_memoria,tam_dataset,lat_p50_ms,lat_p99_ms,ops_por_seg,rdb_size_bytes,aof_size_bytes,tiempo_reinicio_ms,evicted_keys,errores
2025-05-28T02:07:01.835759,rdb,allkeys_random,500k,0.415802001953125,0.6535053253173828,2203.1159977218326,39666470,0,13609.776258468628,0,0
2025-05-28T02:09:01.726173,rdb,allkeys_random,100k,0.4107952117919922,0.6456375122070312,2259.982130516201,16972419,0,12474.177360534668,0,0
2025-05-28T02:25:54.449414,rdb,allkeys_random,1M,0.4265308380126953,0.6759166717529297,2155.6239413525172,41234494,0,13708.260297775269,0,0
2025-05-28T02:35:14.533382,rdb,allkeys_lru,500k,0.42247772216796875,0.7030963897705078,2180.03160591489,33958087,0,13420.214891433716,0,0
2025-05-28T02:37:16.630678,rdb,allkeys_lru,100k,0.4153251647949219,0.6384849548339844,2234.1766214996906,17461492,0,16152.886152267456,0,0
2025-05-28T02:55:51.998233,rdb,allkeys_lru,1M,0.42510032653808594,0.6811618804931641,2172.593269923382,23000552,0,12262.466430664062,0,0
2025-05-28T03:00:20.930894,rdb,noeviction,100k,0.4105567932128906,0.6258487701416016,2260.178973010817,16413797,0,16037.543058395386,0,0
2025-05-28T03:12:11.237725,rdb,allkeys_lfu,500k,0.4222393035888672,0.7176399230957031,2166.7460784170225,33909534,0,13129.30154800415,0,0
2025-05-28T03:14:10.037688,rdb,allkeys_lfu,100k,0.4177093505859375,0.6611347198486328,2220.987605944656,17549982,0,12592.045307159424,0,0
2025-05-28T03:32:39.112085,rdb,allkeys_lfu,1M,0.4220008850097656,0.682830810546875,2176.2543216085733,22834275,0,12519.248723983765,0,0
2025-05-28T03:44:51.534083,aof_everysec,allkeys_random,500k,0.7531642913818359,1.0232925415039062,1175.1903382338,88,0,10638.24987411499,0,0
2025-05-28T03:47:47.432582,aof_everysec,allkeys_random,100k,0.6394386291503906,0.9989738464355469,1467.7377599577949,88,0,11799.92151260376,0,0
2025-05-28T04:13:03.345917,aof_everysec,allkeys_random,1M,0.8413791656494141,9.948253631591797,811.6733239441165,88,0,10928.385257720947,0,0
2025-05-28T04:27:09.764284,aof_everysec,allkeys_lru,500k,0.6365776062011719,1.0008811950683594,1466.471582043404,88,0,12178.987979888916,0,0
2025-05-28T04:30:04.900912,aof_everysec,allkeys_lru,100k,0.6263256072998047,0.9682178497314453,1485.1401850892064,88,0,10618.023872375488,0,0
2025-05-28T04:57:42.696935,aof_everysec,allkeys_lru,1M,0.6253719329833984,1.0361671447753906,1475.2299791526025,88,0,10605.836868286133,0,0
2025-05-28T05:04:15.524192,aof_everysec,noeviction,100k,0.6239414215087891,0.9949207305908203,1487.3269179603624,88,0,10618.73984336853,0,0
